step,train_loss,val_loss,perplexity,lr,tokens_processed,tokens_per_sec,step_per_sec,elapsed_time,cpu_memory
500,4.2149,4.2010,66.75,0.000500,512000,3590.6,3.51,136.7,551.0
1000,2.8047,2.9217,18.57,0.000593,1024000,1831.3,1.79,289.6,577.0
1500,2.1608,1.9363,6.93,0.000564,1536000,2645.9,2.58,490.5,584.9
