step,train_loss,val_loss,perplexity,lr,tokens_processed,tokens_per_sec,step_per_sec,elapsed_time,cpu_memory
500,3.6086,3.6437,38.23,0.000500,512000,1144.1,1.12,387.6,546.1
1000,2.3229,2.2098,9.11,0.000593,1024000,1535.3,1.50,719.4,599.4
1500,1.2515,0.9663,2.63,0.000564,1536000,1545.5,1.51,1057.4,556.8
